Name,Ticker,EPS,PE,TY,NY,Sector
1st Source Corp.,SRCE,29.63,12.23,8.5 ,8.3 ,Financials
3M Company,MMM,56.32,22.29,6.3 ,9.8 ,Industrials
ABM Industries Inc.,ABM,48.48,21.87,1.5 ,6.3 ,Industrials
AFLAC Inc.,AFL,24.45,8.95,10.6 ,(1.6),Financials
Air Products & Chem.,APD,67.10,31.72,(3.0),12.2 ,Materials
Altria Group Inc.,MO,95.41,24.36,9.7 ,8.9 ,Consumer Staples
American States Water,AWR,56.05,26.08,14.2 ,7.6 ,Utilities
Archer Daniels Midland,ADM,32.88,15.97,92.4 ,13.2 ,Consumer Staples
AT&T Inc.,T,57.67,10.10,171.2 ,1.8 ,Telecommunications
Atmos Energy,ATO,53.61,19.56,17.9 ,7.2 ,Utilities
Automatic Data Proc.,ADP,61.64,25.95,11.5 ,13.1 ,Information Tech
Becton Dickinson & Co.,BDX,40.00,23.01,28.5 ,7.6 ,Health Care
Bemis Company,BMS,46.15,18.93,22.9 ,10.7 ,Materials
Black Hills Corp.,BKH,63.53,19.67,29.9 ,3.1 ,Utilities
Bowl America Class A,BWL.A,251.85,53.70,n/a,n/a,Consumer Discretionary
Brady Corp.,BRC,n/a,n/a,64.9 ,17.7 ,Industrials
Brown-Forman Class B,BF-B,40.51,28.58,11.3 ,10.5 ,Consumer Staples
C.R. Bard Inc.,BCR,8.53,16.57,36.2 ,10.3 ,Health Care
California Water Service,CWT,62.62,22.93,(12.8),13.1 ,Utilities
Carlisle Companies,CSL,20.62,18.49,37.0 ,22.6 ,Industrials
Chevron Corp.,CVX,39.41,9.44,(16.7),(45.1),Energy
Chubb Corp.,CB,23.45,11.48,58.9 ,4.3 ,Financials
Cincinnati Financial,CINF,63.23,17.36,21.8 ,2.1 ,Financials
Cintas Corp.,CTAS,24.08,22.29,21.0 ,11.0 ,Industrials
Clarcor Inc.,CLC,28.27,22.10,20.9 ,10.6 ,Industrials
Clorox Company,CLX,68.36,24.64,(1.2),7.1 ,Consumer Staples
Coca-Cola Company,KO,67.78,22.87,(3.6),(0.3),Consumer Staples
Colgate-Palmolive Co.,CL,63.16,29.61,(7.4),4.9 ,Consumer Staples
Commerce Bancshares,CBSH,33.83,15.04,(1.5),3.5 ,Financials
Community Trust Banc.,CTBI,47.24,12.43,(5.0),4.9 ,Financials
Computer Services Inc.,CSVI,43.78,19.48,n/a,n/a,Information Tech
Conn. Water Service,CTWS,54.79,19.13,8.5 ,4.9 ,Utilities
Consolidated Edison,ED,61.47,16.38,(6.5),1.6 ,Utilities
Donaldson Company,DCI,37.71,20.89,7.3 ,12.6 ,Industrials
Dover Corp.,DOV,32.59,14.26,23.0 ,8.9 ,Industrials
Eagle Financial Services,EFSI,41.88,12.17,n/a,n/a,Financials
Eaton Vance Corp.,EV,40.65,16.36,60.5 ,11.1 ,Financials
Emerson Electric,EMR,61.64,18.67,10.1 ,6.7 ,Industrials
Erie Indemnity Company,ERIE,80.12,25.49,3.0 ,10.5 ,Financials
ExxonMobil Corp.,XOM,34.72,11.00,(24.0),(37.5),Energy
Family Dollar Stores,FDO,57.14,35.07,(35.0),9.7 ,Consumer Discretionary
Federal Realty Inv. Trust,FRT,150.00,61.97,(10.7),12.7 ,Financials
First Financial Corp.,THFF,38.89,12.86,(4.4),1.7 ,Financials
Franklin Resources,BEN,15.83,13.60,12.5 ,8.5 ,Financials
Genuine Parts Co.,GPC,51.11,20.65,6.3 ,9.2 ,Consumer Discretionary
Gorman-Rupp Company,GRC,29.63,21.12,7.5 ,21.2 ,Industrials
H.B. Fuller Company,FUL,49.48,42.42,(48.1),23.4 ,Materials
HCP Inc.,HCP,111.33,23.30,9.5 ,(0.3),Financials
Helmerich & Payne Inc.,HP,42.64,9.23,(3.0),(10.2),Energy
Hormel Foods Corp.,HRL,44.84,22.97,14.4 ,9.1 ,Consumer Staples
Illinois Tool Works,ITW,43.89,21.06,(23.1),13.7 ,Industrials
Johnson & Johnson,JNJ,49.12,17.57,18.5 ,5.9 ,Health Care
Kimberly-Clark Corp.,KMB,59.47,19.11,25.1 ,8.8 ,Consumer Staples
Lancaster Colony Corp.,LANC,50.83,24.84,(2.6),8.2 ,Consumer Staples
Leggett & Platt Inc.,LEG,203.28,69.89,(21.8),14.9 ,Consumer Discretionary
Lowe's Companies,LOW,36.36,26.78,26.6 ,22.6 ,Consumer Discretionary
McCormick & Co.,MKC,50.31,22.45,(4.3),6.9 ,Consumer Staples
